1,0,The Shawshank Redemption,1994,144,9.2
1,0,Forrest Gump,1994,144,8.8
2,0,Inception,2010,148,8.8
2,0,Star Wars: Episode V - The Empire Strikes Back,1980,124,8.7
2,0,The Shining,1980,146,8.4
3,0,Hachi: A Dog's Tale,2009,93,8.1
3,0,Avengers: Endgame,2019,181,8.4
4,0,The Curious Case of Benjamin Button,2008,166,7.8
4,0,The Dark Knight,2008,152,9.0
4,0,King Kong,2005,187,7.2
4,0,Rocky,1976,120,8.1
5,0,Paths of Glory,1957,88,8.4
5,0,Aliens,1986,137,8.3
5,0,A Beautiful Mind,2001,135,8.2
5,0,The Big Lebowski,1998,117,8.1
1,2,Hades,21,93
1,1,World of Warcraft,25,93
1,1,New World,12,70
1,3,League of Legends,1,78
1,1,Minecraft,3,93
1,2,Grand Theft Auto V,32,97
2,3,PlayerUnknown's Battlegrounds,1,86
2,2,Portal 2,8,92
2,1,The Sims 4,6,66
3,2,Undertale,8,92
3,1,Guild Wars 2,14,90
3,3,Sid Meier's Civilization VI,6,88
4,1,ArcheAge,9,80
4,2,Tomb Raider,12,86
5,2,BioShock,12,96
5,1,Don't Starve,7,79


