1,2804,R1,25-May-00,28-May-00
2,2802,T2,27-Jul-00,6-Aug-00
3,2801,H1,25-Aug-00,8-Sep-00
4,2803,R4,12-Sep-00,24-Sep-00
5,2804,M1,14-Sep-02,21-Sep-02
6,2802,M1,4-Feb-04,14-Feb-04
7,2801,M1,14-Jul-04,19-Jul-04
8,2801,T1,11-Feb-05,12-Feb-05
9,2804,M1,28-Aug-05,1-Sep-05
10,2801,B1,13-Jun-06,4-Jul-06
11,2802,M1,17-Mar-08,27-Mar-08
12,2803,P1,13-Jun-08,25-Jun-08
13,2803,M1,23-Apr-09,6-May-09
14,2804,T2,16-Nov-09,30-Nov-09
15,2803,R1,3-Jan-10,5-Jan-10
16,2803,Fi1,15-Aug-10,18-Aug-10
17,2803,H1,28-Aug-10,8-Sep-10
18,2802,B2,10-Jun-11,19-Jun-11
19,2802,R5,23-Jun-12,16-Jul-12
20,2802,B1,6-Jul-12,4-Oct-12
21,2802,Fe1,17-Nov-12,29-Nov-12
22,2802,Fi1,27-Apr-13,12-May-13
23,2802,M1,30-Mar-14,16-Apr-14
24,2802,R1,6-Jan-15,25-Jan-15
25,2803,P2,9-Apr-16,15-Apr-16
26,2802,Fe2,25-Apr-16,29-Apr-16
27,2801,R1,28-May-16,6-Jun-16
28,2802,P3,17-Jan-17,27-Jan-17
29,2802,Fa1,8-Apr-17,19-Apr-17
30,2801,M1,12-Jul-20,24-Jul-20
